nom_estab,items,prediction
GAMMA DE FIESTA AMERCIANA GRAN HOTEL ANCIRA,"['PURE', 'PORTERHOUSE', 'ALITA', 'TOCINO', 'COSTILLA', 'FLAN', 'ARRACHERA']","['FLAUTAS', 'LECHE']"
RESTAURANTE ARIECCHINO,['FLAUTAS'],['TOCINO']
RESTAURANTE IDOLOS DEL RIN,"['CUBOS', 'LENGUA', 'WHIP', 'CARNE', 'HAMBURGUESA', 'CATSUP']",['SALSA']
RESTAURANTE LA POSADA,"['DIEZMILLO', 'LENGUA', 'SAZONADOR', 'SALSA', 'MACHACA']",['BACON']
LOS TORILES RESTAURANTE,"['ROAST', 'PIZZA', 'COSTILLA', 'BACON']",['DIEZMILLO']
RESTAURANTE CHAYITO,"['LECHE', 'DESHEBRADA', 'CHULETA', 'WHIP', 'POLLO', 'SURIMI']",['ARRACHERA']
RESTAURANTE LA DELICIA,"['CACHETE', 'DESHEBRADA', 'LENGUA', 'JAMON', 'MOLLEJA', 'CHAMPIÑONES', 'DIEZMILLO']","['SALSA', 'BACON']"
RESTAURANTE MI KASA,"['GALLETA', 'PHILADELPHIA', 'LECHE', 'GOUDA']",['ARRACHERA']
RESTAURANTE LOS RODRIGUEZ,"['MENUDO', 'GOUDA', 'SALCHICHA', 'VEAL', 'SHOULDER', 'SALAMI', 'BACON']",['DIEZMILLO']
RESTAURANTE JOSEPHINOS,"['SALSA', 'ELOTE', 'ESPALDILLA', 'CHORIZO', 'ACEITUNA']",['LENGUA']
EL MAGO RESTAURANTE Y BANQUETES,"['CORTADILLO', 'CUBOS', 'ELOTE', 'JALAPENOS', 'COWBOY']",['PANELA']
HOTEL OASIS,"['SURIMI', 'TOCINO', 'ENDULZANTE', 'YOGHURT']",['FLAUTAS']
MINIRESTAURANTE EL CHINO,"['PECHUGA', 'MANCHEGO', 'PAPA', 'MAYONESA', 'MOLIDA']",['CHILE']
LA RONDA RESTAURANTE,"['COSTILLA', 'CREMA', 'CACHETE', 'PANELA']",['CORTADILLO']
RESTAURANTE DE MARISCOS EL ROJO,"['ACEITE', 'CREMA', 'ACEITUNA', 'COWBOY', 'CHILE']",['MOLIDA']
RESTAURANTE  LA  FUNDACION,"['SALAMI', 'GOUDA', 'COWBOY', 'LENGUA', 'BONELESS']",['SALSA']
LA TORRADA RESTAURANTE,"['COFFEE', 'ATUN', 'PULPO', 'CHAMPIÑONES', 'GOUDA', 'POLLO']",['SALMON']
HOTEL PALACIO,"['HUEVO', 'MENUDO', 'PULPO', 'HUESO', 'TOMAHAWK', 'CUBOS', 'DIEZMILLO']",['BACON']
EL MAGO RESTAURANTE Y BANQUETES,"['T-BONE', 'PASTA', 'COCOA', 'COFFEE', 'CAMARON', 'CACHETE', 'MOSTAZA']",['SALMON']
RESTAURANTE EL GITANO,"['PULPO', 'BACON', 'RIBEYE', 'ESPALDILLA', 'MANTEQUILLA']",['DIEZMILLO']
RESTAURANTE DE MARISCOS EL ROJO,"['PANELA', 'MOLLEJA', 'NUGGET', 'SALMON', 'JUGO', 'DIEZMILLO', 'CORTADILLO']","['BACON', 'COFFEE']"
HOTEL REGIS,"['PURE', 'TOCINO', 'PASTA', 'GOUDA', 'CHAMPIÑONES', 'MANTEQUILLA', 'CARNE']",['FLAUTAS']
HOTEL POSADA,"['CORTADILLO', 'POLLO', 'CHILE']","['PANELA', 'MOLIDA']"
RESTAURANTE ARIECCHINO,"['TOMATE', 'MANTEQUILLA', 'FLAN', 'TOMAHAWK', 'COWBOY', 'PASTEL', 'FLAUTAS']",['TOCINO']
RESTAURANTE EL BUEN PALADAR,"['DESHEBRADA', 'GOUDA', 'LECHE', 'ELOTE', 'COCOA', 'DULCE', 'BISTEC']",['ARRACHERA']
RESTAURANTE LAS ALITAS SUC NUEVO SUR,"['DULCE', 'SHOULDER', 'MAYONESA', 'PANELA', 'TOMAHAWK', 'ARRACHERA', 'PIMIENTA']","['CORTADILLO', 'LECHE']"
RESTAURANTE IDOLOS DEL RIN,"['PANELA', 'ELOTE', 'FAJITA', 'PAPA', 'FLAUTAS', 'TOMAHAWK']","['TOCINO', 'CORTADILLO']"
RESTAURANTE BONDIA,"['LENGUA', 'TOMATE', 'PASTA', 'PHILADELPHIA', 'MARGARINA', 'HUEVO']",['SALSA']
CHE PEBETA RESTAURANTE ARGENTINO,"['CORTADILLO', 'ARRACHERA', 'PASTEL', 'TOMATE']","['PANELA', 'LECHE']"
ESPAÑOLA RESTAURANTE,"['MANTEQUILLA', 'GALLETA', 'MAYONESA', 'MACHACA', 'SALCHICHA', 'FLAUTAS', 'CAMARON']",['TOCINO']
RESTAURANTE VERDENIA,"['RIBEYE', 'ESPALDILLA', 'ELOTE', 'BACON']",['DIEZMILLO']
RESTAURANTE BOATO,"['CATSUP', 'CARNITAS/PIERNA', 'CARNE', 'FAJITA', 'ARRACHERA']",['LECHE']
GAMMA DE FIESTA AMERCIANA GRAN HOTEL ANCIRA,"['JAMON', 'DULCE', 'LENGUA', 'PAVO', 'SHOULDER', 'CARNE', 'MANCHEGO']",['SALSA']
RESTAURANTE FAMILIAR LAS PALMAS,"['DULCE', 'MOSTAZA', 'MANTEQUILLA', 'CORTADILLO', 'TOMAHAWK', 'GOUDA', 'SALMON']","['PANELA', 'COFFEE']"
EL MAGO RESTAURANTE Y BANQUETES,"['PEPPERONI', 'AJO', 'SHOULDER', 'DIEZMILLO', 'COCOA', 'PURE']",['BACON']
VITANTI RESTAURANTE,"['BACON', 'SALMON', 'CARNE', 'COFFEE', 'PHILADELPHIA', 'YOGHURT']",['DIEZMILLO']
CHE PEBETA RESTAURANTE ARGENTINO,"['SURIMI', 'SALMON', 'PASTA', 'ACEITE', 'CATSUP']",['COFFEE']
CALLE 7 RESTAURANTE,"['AJO', 'CHEESECAKE', 'PULPA', 'LECHE', 'MANTEQUILLA', 'HUESO', 'PASTA']",['ARRACHERA']
CHE PEBETA RESTAURANTE ARGENTINO,"['BRISKET', 'ARRACHERA', 'MAYONESA', 'ESPALDILLA', 'PHILADELPHIA', 'NUGGET', 'AJO']",['LECHE']
HUI XIN RESTAURANTE DE COMIDA CHINA,"['PIMIENTA', 'ENDULZANTE', 'MANCHEGO', 'LECHE']",['ARRACHERA']
RESTAURANTE BONDIA,"['DIEZMILLO', 'ADEREZO', 'MENUDO', 'ELOTE', 'PULPO', 'CORTADILLO', 'SAZONADOR']","['PANELA', 'BACON']"
RESTAURANTE ARIECCHINO,"['VEAL', 'LECHE', 'MOSTAZA', 'MACHACA']",['ARRACHERA']
RESTAURANTE MI KASA,"['PEPPERONI', 'DIEZMILLO', 'ADEREZO', 'HUEVO', 'HUESO']",['BACON']
HOTEL HOLIDAY IN EXPRESS,"['ADOBADA', 'ACEITE', 'ATUN', 'MOSTAZA', 'DIEZMILLO', 'CORTADILLO']","['PANELA', 'BACON']"
LA RONDA RESTAURANTE,"['CHILE', 'PORTERHOUSE', 'CACHETE', 'SURIMI', 'PHILADELPHIA']",['MOLIDA']
RESTAURANTE LOS RODRIGUEZ,"['DIEZMILLO', 'MERMELADA', 'MIEL', 'MANCHEGO', 'PIZZA']",['BACON']
RESTAURANTE LAS TRES VILLAS,"['SALCHICHA', 'PORTERHOUSE', 'MIEL', 'PECHUGA', 'BACON', 'SHOULDER']",['DIEZMILLO']
HOTEL REGIS,"['CORTADILLO', 'HUEVO', 'DULCE', 'GOUDA']",['PANELA']
RESTAURANTE Y TAQUERIA MI GENERAL,"['LOMO', 'PEPPERONI', 'SALMON', 'ELOTE', 'COSTILLA', 'GOUDA', 'WHIP']",['COFFEE']
HOTEL EL REGIO,"['LOMO', 'MOSTAZA', 'PEPPERONI', 'SALMON', 'MACHACA', 'CARNE', 'LENGUA']","['SALSA', 'COFFEE']"
RESTAURANTE CHAYITO,"['COWBOY', 'SALMON', 'MANTEQUILLA', 'BISTEC', 'SURIMI', 'PULPO']",['COFFEE']
LA TORRADA RESTAURANTE,['LENGUA'],['SALSA']
RESTAURANTE DE MARISCOS EL ROJO,"['CATSUP', 'BRISKET', 'ARRACHERA', 'FILETE']",['LECHE']
RESTAURANTE IDOLOS DEL RIN,"['MANCHEGO', 'POLLO', 'GOUDA', 'MORTADELA', 'CORTADILLO', 'PAPA', 'NUGGET']",['PANELA']
RESTAURANTE DE MARISCOS SIN NOMBRE,"['COFFEE', 'DIEZMILLO', 'YEMA', 'ARRACHERA', 'BACON']","['SALMON', 'LECHE']"
HOTEL REGIS,"['MOSTAZA', 'WHIP', 'COWBOY', 'PIZZA', 'ARRACHERA', 'ALITA']",['LECHE']
LA TORRADA RESTAURANTE,"['CARNE', 'TOMAHAWK', 'LENGUA', 'COFFEE', 'ATUN']","['SALSA', 'SALMON']"
RESTAURANTE DE MARISCOS SIN NOMBRE,"['MOLIDA', 'POLLO', 'PASTEL']",['CHILE']
HOTEL MISION,"['JALAPENOS', 'ACEITUNA', 'COFFEE', 'YEMA', 'COWBOY']",['SALMON']
MINIRESTAURANTE EL CHINO,"['GOUDA', 'MERMELADA', 'PIERNA', 'PASTA', 'COFFEE']",['SALMON']
HOTEL REGIS,"['PIERNA', 'CHILE', 'COWBOY', 'DULCE']",['MOLIDA']
RESTAURANTE EL BUEY,"['JAMON', 'CHILE']",['MOLIDA']
RESTAURANTE BONDIA,"['JALAPENOS', 'MANTEQUILLA', 'MERMELADA', 'ALITA', 'MORTADELA', 'MEDALLON', 'DIEZMILLO']",['BACON']
RESTAURANTE LA AZULITA,"['PORTERHOUSE', 'PIERNA', 'DIEZMILLO', 'SAZONADOR']",['BACON']
RESTAURANTE EL GITANO,"['CARNITAS/PIERNA', 'COWBOY', 'FLAUTAS', 'COSTILLA', 'FLAN']",['TOCINO']
RESTAURANTE DE MARISCOS LOS REYES,"['MIEL', 'PULPO', 'PURE', 'PANELA', 'AJO']",['CORTADILLO']
HOTEL MISION,"['CACHETE', 'FLAUTAS', 'MOLIDA', 'LECHE', 'TOMAHAWK', 'PANELA']","['TOCINO', 'CHILE', 'ARRACHERA', 'CORTADILLO']"
GAMMA DE FIESTA AMERCIANA GRAN HOTEL ANCIRA,"['SURIMI', 'ENDULZANTE', 'WHIP', 'CHEESECAKE', 'SALSA', 'PHILADELPHIA', 'ELOTE']",['LENGUA']
RESTAURANTE LAS ALITAS SUC NUEVO SUR,"['FLAUTAS', 'MEDALLON', 'MERMELADA', 'MARGARINA', 'YOGHURT']",['TOCINO']
MINIRESTAURANTE EL CHINO,"['QUESO', 'SALSA', 'CARNITAS/PIERNA', 'ESPALDILLA', 'MENUDO']",['LENGUA']
HOTEL CAMINO REAL,"['TOMAHAWK', 'SALMON', 'ATUN', 'PHILADELPHIA', 'LECHE', 'PASTA', 'MIEL']","['ARRACHERA', 'COFFEE']"
LA TORRADA RESTAURANTE,"['LOMO', 'HAMBURGUESA', 'CUBOS', 'DIEZMILLO']",['BACON']
RESTAURANTE IDOLOS DEL RIN,"['PANELA', 'ATUN', 'SALMON', 'DESHEBRADA', 'CUBOS', 'BONELESS', 'GALLETA']","['COFFEE', 'CORTADILLO']"
MINIRESTAURANTE EL CHINO,"['SALCHICHA', 'ACEITE', 'LENGUA', 'PORTERHOUSE', 'SURIMI']",['SALSA']
ANTIQUE HOTEL BOUTIQUE SANTA LUCIA,"['PASTEL', 'AJO', 'MOLIDA', 'DIEZMILLO', 'MAYONESA', 'PASTA']","['CHILE', 'BACON']"
RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR,"['FLAN', 'SALSA', 'MANCHEGO', 'JALAPENOS', 'MEDALLON']",['LENGUA']
RESTAURANTE BOATO,"['PIMIENTA', 'PIERNA', 'CATSUP', 'BRISKET', 'SALCHICHA', 'TOCINO', 'POLLO']",['FLAUTAS']
HUI XIN RESTAURANTE DE COMIDA CHINA,"['CARNE', 'SALSA', 'T-BONE', 'BRISKET']",['LENGUA']
RESTAURANTE TIO LALO,"['QUESO', 'MILANESA', 'TOMATE', 'SALMON', 'HUEVO', 'ELOTE']",['COFFEE']
HOTEL MISION,"['ESPALDILLA', 'ACEITE', 'MOLLEJA', 'T-BONE', 'COSTILLA', 'ARRACHERA', 'PIMIENTA']",['LECHE']
EL MAGO RESTAURANTE Y BANQUETES,"['COFFEE', 'ADEREZO', 'MILANESA', 'PEPPERONI', 'MOLLEJA']",['SALMON']
