id_detalle,id_pedido,id_producto,cantidad
443,85,99,5
444,85,35,2
445,85,79,11
446,85,56,12
447,86,72,24
448,86,88,15
449,87,28,21
450,87,51,22
451,87,68,16
452,87,41,11
453,87,62,30
454,87,9,6
455,88,70,5
456,88,31,22
457,88,17,18
458,88,100,27
459,88,79,18
460,89,31,29
461,89,43,23
462,89,94,16
463,90,8,20
464,90,71,28
465,90,81,17
466,90,15,15
467,90,95,6
468,90,53,20
469,90,36,9
470,91,40,17
471,91,102,24
472,91,82,15
473,91,62,1
474,91,78,15
475,91,71,24
476,91,55,28
477,92,97,26
478,92,15,19
479,92,45,1
480,92,23,2
481,92,37,15
482,92,22,24
483,93,37,15
484,93,96,31
485,93,87,18
486,93,55,28
487,93,43,31
488,93,65,1
489,93,1,23
490,94,42,15
491,94,31,31
492,94,101,1
493,94,35,2
494,94,81,20
495,95,23,1
496,95,32,18
497,95,97,3
498,95,84,30
499,95,15,15
500,96,8,26
501,96,26,25
502,96,38,28
503,96,100,11
504,96,33,18
505,96,25,16
506,96,53,20
507,97,42,24
508,97,62,28
509,97,29,20
510,97,36,27
511,97,83,17
512,97,64,24
513,98,7,24
514,98,28,24
515,98,12,15
516,98,85,24
517,98,56,12
518,98,69,24
519,98,56,12
520,99,21,6
521,99,70,16
522,99,65,24
523,99,57,1
524,99,48,26
525,99,35,22
526,99,14,18
527,100,72,1
528,100,68,15
529,100,68,20
530,100,86,24
531,100,33,23
532,101,91,15
533,101,37,5
534,101,14,6
535,101,74,11
536,101,70,17
537,101,65,28
538,102,93,24
539,102,61,6
540,102,16,28
541,102,60,24
542,102,47,16
543,103,61,24
544,103,50,15
545,103,6,16
546,103,68,18
547,103,15,23
548,103,1,28
549,104,39,11
550,104,95,30
551,104,61,17
552,104,56,23
553,105,19,9
554,105,91,27
555,105,42,31
556,105,77,20
557,105,92,5
558,105,1,20
559,105,71,2
560,106,9,6
561,106,44,20
562,106,86,1
563,106,95,2
564,106,42,28
565,106,67,29
566,107,51,6
567,107,15,21
568,108,100,1
569,108,35,22
570,108,37,26
571,108,69,21
572,108,11,24
573,109,13,6
574,109,76,23
575,109,53,24
576,109,49,18
577,109,64,30
578,109,36,20
579,110,7,30
580,110,21,23
581,110,37,30
582,110,29,21
583,110,42,24
584,111,88,11
585,111,49,23
586,111,81,15
587,111,83,15
588,111,38,17
589,111,65,19
590,112,28,19
591,112,49,26
592,112,89,24
593,112,70,16
594,113,95,19
595,113,9,24
596,113,92,20
597,113,28,23
598,113,86,20
599,114,22,21
600,114,93,20
601,114,94,11
602,114,30,2
603,114,17,20
604,114,75,6
605,114,83,19
606,115,98,2
607,115,21,24
608,115,47,20
609,115,62,17
610,116,6,28
611,116,58,26
612,116,57,16
613,116,60,29
614,117,50,2
615,117,42,1
616,117,22,18
617,117,53,28
618,117,19,27
619,118,102,28
620,118,27,12
621,118,66,9
622,119,60,9
623,119,8,20
624,120,72,22
625,120,64,6
626,120,91,16
627,120,89,16
628,120,38,11
629,120,4,1
630,121,9,23
631,121,46,16
632,121,78,15
633,121,37,20
634,121,21,23
635,121,31,24
636,121,57,27
637,122,18,17
638,122,78,3
639,123,18,20
640,123,94,16
641,123,24,2
642,123,18,20
643,123,57,18
644,123,73,21
645,124,69,11
646,124,37,27
647,125,32,19
648,125,53,24
649,125,67,26
650,125,39,30
651,125,2,24
652,125,4,24
653,126,60,18
654,126,14,23
655,126,91,22
656,126,71,24
657,126,5,11
658,126,30,23
659,126,2,9
660,127,41,16
661,127,19,24
662,127,99,15
663,127,93,23
664,128,12,12
665,128,51,26
666,128,99,12
667,128,97,19
668,128,82,18
669,129,67,24
670,129,48,23
671,129,21,19
672,129,8,30
673,129,20,27
674,130,66,28
675,130,52,11
676,130,23,10
677,130,26,29
678,130,57,18
679,131,85,18
680,131,37,18
681,131,40,20
682,131,98,17
683,131,48,28
684,131,88,6
685,131,91,4
686,132,55,17
687,132,13,20
688,132,92,21
689,132,53,24
690,133,83,15
691,133,90,1
692,133,76,24
693,133,24,12
694,133,77,24
695,134,53,15
696,134,33,24
697,134,94,22
698,134,47,24
699,134,88,26
700,134,50,18
701,135,43,18
702,135,52,27
703,135,13,28
704,135,64,1
705,135,77,26
706,135,97,20
707,136,2,4
708,136,51,21
709,136,102,4
710,136,8,21
711,136,39,20
712,136,101,26
713,136,48,21
714,137,51,21
715,137,75,30
716,137,65,28
717,137,78,9
718,137,53,9
719,137,63,3
720,137,38,23
721,138,42,2
722,138,2,24
723,138,36,15
724,138,49,9
725,138,54,28
726,138,49,23
727,138,18,17
728,139,33,28
729,139,28,20
730,139,67,3
731,139,74,24
732,139,22,19
733,140,36,24
734,140,10,24
735,140,49,2
736,140,41,17
737,140,65,2
738,140,36,20
739,140,98,21
740,141,21,15
741,141,9,28
742,141,96,24
743,141,19,26
744,141,47,5
745,142,82,2
746,142,70,15
747,142,28,24
748,142,73,15
749,142,59,26
750,143,82,6
751,143,34,18
752,143,55,20
753,143,56,27
754,143,18,9
755,143,35,1
756,143,54,18
757,144,70,2
758,144,25,18
759,144,72,23
760,144,97,17
761,144,62,1
762,144,99,17
763,145,39,20
764,145,8,21
765,145,34,20
766,145,92,19
767,145,1,20
768,145,14,15
769,146,93,21
770,146,82,11
771,146,61,22
772,146,98,24
773,146,97,12
774,146,9,16
775,146,29,20
776,147,40,24
777,147,25,15
778,147,81,18
779,147,86,18
780,147,89,15
781,147,88,15
782,148,45,24
783,148,72,29
784,148,18,30
785,148,34,20
786,149,102,11
787,149,82,24
788,149,100,1
789,149,28,16
790,149,102,23
791,150,77,24
792,150,12,20
793,150,50,9
794,150,63,20
795,150,36,20
796,150,74,12
797,151,12,21
798,151,3,24
799,151,38,20
800,151,3,24
801,152,89,24
802,152,48,15
803,152,18,12
804,152,65,20
805,152,9,30
806,153,20,15
807,153,31,10
808,153,68,22
809,153,102,15
810,153,13,11
811,153,21,25
812,153,24,18
813,154,76,15
814,154,73,20
815,154,58,24
816,154,87,23
817,155,55,20
818,155,14,16
819,155,24,11
820,155,54,14
821,155,38,20
822,155,20,28
823,155,7,16
824,156,13,24
825,156,91,24
826,157,48,15
827,157,40,18
828,157,60,30
829,157,81,20
830,157,97,21
831,157,31,9
832,157,38,24
833,158,85,5
834,158,94,15
835,158,36,22
836,158,33,24
837,158,23,18
838,158,96,23
839,159,8,9
840,159,29,16
841,159,76,27
842,159,64,30
843,160,14,30
844,160,89,21
845,160,12,27
846,160,98,29
847,161,11,24
848,161,97,11
849,161,62,11
850,161,34,11
851,161,71,18
852,162,22,24
853,162,34,16
854,162,93,1
855,162,49,2
856,162,80,11
857,163,37,15
858,163,53,28
859,163,96,14
860,163,10,17
861,163,61,15
862,163,82,17
863,163,60,23
864,164,89,27
865,164,10,11
866,164,9,28
867,165,76,6
868,165,89,11
869,165,37,10
870,165,26,22
871,165,92,2
872,166,81,17
873,166,46,27
874,166,89,11
875,166,50,20
876,166,12,15
877,167,11,21
878,167,63,24
879,167,45,25
880,167,64,28
881,167,42,15
882,168,9,2
883,168,75,24
884,168,5,20
885,168,31,1
886,168,14,20
887,168,10,25
888,168,71,31
889,169,41,15
890,169,35,18
891,169,94,15
892,169,11,23
893,170,11,24
894,170,2,12
895,170,34,4
896,170,2,27
897,170,27,23
898,170,93,5
899,171,36,28
900,171,64,1
901,171,89,11
902,171,57,23
903,171,20,3
904,172,88,17
905,172,45,20
906,172,42,30
907,172,101,19
908,172,4,30
909,172,53,11
910,173,83,24
911,173,73,15
912,173,77,23
913,173,55,20
914,173,64,24
915,173,7,20
916,173,34,10
917,174,44,2
918,174,17,30
919,174,79,24
920,174,56,29
921,175,32,15
922,175,76,24
923,175,12,15
924,175,5,11
925,175,41,15
926,175,24,24
927,175,18,28
928,176,5,9
929,176,32,23
930,176,75,20
931,176,2,20
932,176,23,22
933,176,15,19
934,176,19,15
935,177,43,24
936,177,85,24
937,177,2,22
938,177,69,9
939,177,5,28
940,178,92,29
941,178,3,24
942,178,90,6
943,178,56,1
944,179,91,15
945,179,20,24
946,179,5,2
947,179,79,15
948,179,75,20
949,180,58,6
950,180,5,11
951,180,51,24
952,180,65,27
953,180,86,15
954,180,32,1
955,180,31,6
956,181,52,24
957,181,25,6
958,181,69,21
959,181,5,29
960,182,74,28
961,182,24,11
962,182,101,15
963,182,53,23
964,182,45,24
965,182,83,24
966,183,87,23
967,183,55,24
968,184,77,24
969,185,36,23
970,185,13,28
971,185,91,17
972,185,11,24
973,186,69,24
974,186,47,26
975,186,17,24
976,186,62,24
977,186,57,24
978,187,41,22
979,187,47,1
980,187,34,6
981,187,49,24
982,187,58,15
983,187,70,16
984,188,20,11
985,188,84,14
986,188,42,27
987,188,7,23
988,189,81,18
989,189,18,6
990,190,89,26
991,190,86,18
992,190,88,24
993,190,64,22
994,190,65,18
995,190,71,4
996,191,28,23
997,191,76,9
998,191,58,6
999,191,48,21
1000,191,73,4
1001,191,38,23
1002,192,51,2
1003,192,70,21
1004,192,20,23
1005,192,71,23
1006,192,82,22
1007,193,43,30
1008,193,14,1
1009,193,36,19
1010,193,20,2
1011,193,14,1
1012,194,26,16
1013,194,60,2
1014,194,87,23
1015,194,75,22
1016,195,25,28
1017,195,39,23
1018,195,16,20
1019,196,92,10
1020,196,44,23
1021,196,10,24
1022,196,35,22
1023,196,61,15
1024,196,44,20
1025,197,78,15
1026,197,70,27
1027,197,50,10
1028,197,7,2
1029,197,69,18
1030,198,83,24
1031,198,82,26
1032,198,59,20
1033,198,72,10
1034,199,84,24
1035,199,28,20
1036,199,81,20
1037,199,40,23
1038,199,6,16
1039,199,96,29
1040,199,7,23
1041,200,34,21
1042,200,4,20
1043,200,85,20
1044,201,74,18
1045,201,11,6
1046,201,64,17
1047,201,18,29
1048,202,41,17
1049,203,51,16
1050,203,100,4
1051,203,44,20
1052,203,16,15
1053,203,18,6
1054,203,31,23
1055,204,21,29
1056,204,13,16
1057,204,3,1
1058,204,80,23
1059,204,52,25
1060,204,82,23
1061,205,92,19
1062,205,81,29
1063,205,80,28
1064,205,61,24
1065,206,33,1
1066,206,53,18
1067,206,91,11
1068,206,51,19
1069,206,92,16
1070,207,9,1
1071,207,87,20
1072,207,79,30
1073,207,28,28
1074,208,55,24
1075,208,52,20
1076,208,102,23
1077,208,24,6
1078,208,100,24
1079,208,74,15
1080,209,24,15
1081,209,80,11
1082,209,100,20
1083,209,94,21
1084,209,32,1
1085,209,50,4
1086,210,32,26
1087,210,51,16
1088,210,13,20
1089,210,64,30
1090,210,19,5
1091,210,48,18
1092,210,33,24
1093,211,5,20
1094,211,62,6
1095,211,74,20
1096,212,30,24
1097,212,65,21
1098,212,70,26
1099,212,40,24
1100,212,100,28
1101,212,94,19
1102,212,53,23
1103,213,76,15
1104,213,42,24
1105,213,43,11
1106,213,50,11
1107,214,88,30
1108,214,9,15
1109,214,93,12
1110,214,59,26
1111,214,43,6
1112,214,99,1
1113,214,89,2
1114,215,35,20
1115,215,91,26
1116,215,37,24
1117,215,23,24
1118,215,2,20
1119,216,31,15
1120,216,27,11
1121,216,47,18
1122,216,35,20
1123,216,29,16
1124,217,36,15
1125,217,96,24
1126,217,94,28
1127,217,102,30
1128,218,69,28
1129,218,57,15
1130,218,63,23
1131,218,74,25
1132,218,54,3
1133,219,100,6
1134,219,78,22
1135,219,61,16
1136,219,31,24
1137,219,54,10
1138,219,36,18
1139,219,38,21
1140,220,25,29
1141,220,47,16
1142,220,76,10
1143,220,65,9
1144,220,70,18
1145,221,27,30
1146,221,68,18
1147,221,66,2
1148,221,42,16
1149,221,82,23
1150,221,93,29
1151,221,4,19
1152,222,48,16
1153,222,21,31
1154,222,48,21
1155,222,71,27
1156,222,46,24
1157,223,76,28
1158,223,80,1
1159,223,35,28
1160,223,93,15
1161,223,87,21
1162,223,17,16
1163,224,13,23
1164,224,30,11
1165,224,68,17
1166,224,28,4
1167,225,8,28
1168,225,20,24
1169,225,70,16
1170,225,32,16
1171,225,77,1
1172,226,30,31
1173,226,22,23
1174,226,29,24
1175,226,2,24
1176,226,1,15
1177,227,100,24
1178,227,59,29
1179,227,28,10
1180,227,28,24
1181,228,40,6
1182,228,97,26
1183,228,79,26
1184,228,29,26
1185,228,49,28
1186,229,79,22
1187,229,76,23
1188,229,23,18
1189,229,36,29
1190,229,83,15
1191,230,11,24
1192,230,88,16
1193,230,43,24
1194,230,51,20
1195,230,29,29
1196,231,13,12
1197,231,34,14
1198,231,13,20
1199,231,45,17
1200,231,72,11
1201,231,11,6
1202,231,19,23
1203,232,30,4
1204,232,13,28
1205,232,10,21
1206,232,49,22
1207,232,5,29
1208,232,30,17
1209,232,23,18
1210,233,43,16
1211,233,19,2
1212,233,80,30
1213,233,8,24
1214,233,83,10
1215,233,26,15
1216,234,92,27
1217,234,19,18
1218,234,79,24
1219,234,73,25
1220,234,31,12
1221,234,64,9
1222,235,4,16
1223,235,28,11
1224,235,17,23
1225,235,23,6
1226,235,74,6
1227,235,100,24
1228,236,33,20
1229,236,31,24
1230,236,97,20
1231,236,59,18
1232,236,45,28
1233,236,83,11
1234,236,46,28
1235,237,25,31
1236,237,71,24
1237,237,15,24
1238,237,26,20
1239,237,95,28
1240,237,13,28
1241,237,66,3
1242,238,55,21
1243,238,83,10
1244,238,9,15
1245,238,86,27
1246,238,37,15
1247,239,68,21
1248,239,49,18
1249,239,67,20
1250,239,27,12
1251,239,64,11
1252,239,33,24
1253,239,90,30
1254,240,10,18
1255,240,52,20
1256,240,53,22
1257,240,78,2
1258,240,79,5
1259,240,93,15
1260,240,3,26
1261,241,94,29
1262,241,61,20
1263,242,55,18
1264,242,16,26
1265,242,19,16
1266,242,43,2
1267,242,84,17
1268,242,96,11
1269,242,71,17
1270,243,80,17
1271,243,22,2
1272,243,27,15
1273,243,22,21
1274,244,32,18
1275,245,72,24
1276,245,40,27
1277,245,55,11
1278,245,98,24
1279,245,41,15
1280,245,29,23
1281,245,97,17
1282,246,43,18
1283,246,34,1
1284,246,50,23
1285,246,35,24
1286,246,25,1
1287,246,32,15
1288,246,10,24
1289,247,75,20
1290,247,19,2
1291,247,21,20
1292,247,21,24
1293,247,82,21
1294,248,69,6
1295,249,34,10
1296,249,93,20
1297,249,7,24
1298,249,78,15
1299,249,57,3
1300,249,97,15
1301,249,68,19
1302,250,68,24
1303,250,38,16
1304,250,69,9
1305,250,35,20
1306,250,41,28
1307,250,97,3
1308,251,101,16
1309,251,92,19
1310,251,15,9
1311,251,88,16
1312,251,73,26
1313,251,71,24
1314,251,58,2
1315,252,86,29
1316,252,66,24
1317,252,14,23
1318,252,13,18
1319,252,71,30
1320,253,89,16
1321,253,66,31
1322,253,97,28
1323,253,42,20
1324,253,12,20
1325,253,49,24
1326,254,80,20
1327,254,98,4
1328,254,82,20
1329,255,35,24
1330,255,17,26
1331,255,70,20
1332,255,72,15
1333,256,51,15
1334,256,46,3
1335,256,98,21
1336,256,76,28
1337,256,71,16
1338,256,56,18
1339,257,98,24
1340,257,27,10
1341,257,7,10
1342,257,72,3
1343,258,43,20
1344,258,81,29
1345,258,54,28
1346,258,15,24
1347,258,78,3
1348,259,55,21
1349,259,20,24
1350,259,87,20
1351,259,87,24
1352,260,71,20
1353,260,55,5
1354,261,43,17
1355,261,19,15
1356,261,70,16
1357,261,81,2
1358,261,62,15
1359,261,40,11
1360,262,53,18
1361,262,42,20
1362,262,41,30
1363,262,89,11
1364,262,57,18
1365,262,15,24
1366,262,55,2
1367,263,2,21
1368,263,34,12
1369,263,58,12
1370,263,31,23
1371,264,86,20
1372,264,35,15
1373,264,9,20
1374,264,37,11
1375,265,1,20
1376,265,21,24
1377,265,43,18
1378,265,57,24
1379,266,17,24
1380,266,16,14
1381,266,7,10
1382,266,18,30
1383,266,38,2
1384,267,4,18
1385,267,52,16
1386,268,51,24
1387,268,93,16
1388,268,73,24
1389,268,34,28
1390,268,16,16
1391,268,54,21
1392,268,48,29
1393,269,55,20
1394,269,84,29
1395,270,38,30
1396,270,57,24
1397,270,97,5
1398,270,58,29
1399,270,8,23
1400,270,78,21
1401,271,38,15
1402,271,54,23
1403,271,69,17
1404,271,88,24
1405,272,64,29
1406,272,66,27
1407,272,77,21
1408,272,55,31
1409,273,17,10
1410,273,77,24
1411,274,94,2
1412,274,29,24
1413,274,101,6
1414,274,99,24
1415,275,66,20
1416,275,97,3
1417,275,27,20
1418,275,55,23
1419,275,34,24
1420,275,43,15
1421,275,90,18
1422,276,93,1
1423,276,25,23
1424,276,5,25
1425,276,33,16
1426,276,25,23
1427,276,75,26
1428,276,84,20
1429,277,102,2
1430,277,76,23
1431,277,9,1
1432,277,16,16
1433,277,90,3
1434,277,26,28
1435,278,90,19
1436,278,1,6
1437,278,18,20
1438,278,71,24
1439,278,94,21
1440,279,101,27
1441,279,70,21
1442,279,76,20
1443,279,39,29
1444,279,76,11
1445,279,44,26
1446,280,94,19
1447,280,69,30
1448,280,24,11
1449,280,45,27
1450,280,53,15
1451,280,49,31
1452,281,20,20
1453,281,71,18
1454,281,82,9
1455,281,55,18
1456,281,50,29
1457,281,45,27
1458,281,5,28
1459,282,53,16
1460,282,76,24
1461,282,56,25
1462,282,10,14
1463,283,98,22
1464,283,24,30
1465,283,3,3
1466,283,2,17
1467,284,12,27
1468,284,76,18
1469,284,7,16
1470,284,67,30
1471,284,57,24
1472,284,37,22
1473,284,5,20
1474,285,36,12
1475,285,78,16
1476,285,54,17
1477,285,50,5
1478,286,64,26
1479,286,57,20
1480,286,100,21
1481,286,13,18
1482,286,14,10
1483,287,33,29
1484,287,59,17
1485,287,3,17
1486,287,83,12
1487,287,35,30
1488,287,92,28
1489,287,27,22
1490,288,66,24
1491,288,78,6
1492,288,25,2
1493,289,35,12
1494,289,13,15
1495,289,55,20
1496,289,73,23
1497,290,50,24
1498,290,53,23
1499,290,99,24
1500,290,66,28
1501,291,38,24
1502,291,32,24
1503,291,24,24
1504,291,44,27
1505,292,3,6
1506,292,46,3
1507,292,33,2
1508,292,75,28
1509,292,45,20
1510,293,8,9
1511,293,1,1
1512,293,33,16
1513,293,27,2
1514,293,66,14
1515,293,4,15
1516,294,82,23
1517,294,54,20
1518,294,100,17
1519,294,55,23
1520,294,59,24
1521,294,79,24
1522,295,76,2
1523,295,94,6
1524,295,22,31
1525,295,13,18
1526,295,81,20
1527,296,54,3
1528,296,79,23
1529,296,60,14
1530,296,33,21
1531,296,61,20
1532,297,32,23
1533,297,69,30
1534,297,86,24
1535,297,86,20
1536,297,81,15
1537,297,82,18
1538,298,93,24
1539,298,61,9
1540,298,89,1
1541,298,81,20
1542,298,9,27
1543,298,74,28
1544,298,81,16
1545,299,14,6
1546,299,8,10
1547,299,21,1
1548,299,32,16
1549,299,31,5
1550,300,80,12
1551,300,58,20
1552,300,49,22
1553,300,44,18
1554,300,34,21
1555,301,73,15
1556,301,94,24
1557,301,2,10
1558,301,40,24
1559,302,97,30
1560,302,93,28
1561,302,42,21
1562,302,15,20
1563,303,46,6
1564,303,43,20
1565,303,34,28
1566,303,27,15
1567,304,75,28
1568,304,43,25
1569,304,90,22
1570,304,28,19
1571,304,52,1
1572,304,35,15
1573,304,100,21
1574,305,51,23
1575,305,90,16
1576,305,16,26
1577,305,52,20
1578,305,75,23
1579,305,66,24
1580,305,53,27
1581,306,94,17
1582,306,55,29
1583,306,10,15
1584,306,29,24
1585,306,90,20
1586,306,83,1
1587,307,14,17
1588,307,70,15
1589,307,89,15
1590,308,79,15
1591,308,85,31
1592,308,3,15
1593,308,11,22
1594,309,51,24
1595,310,42,2
1596,310,73,1
1597,310,74,11
1598,310,36,23
1599,310,1,24
1600,310,85,11
1601,311,18,24
1602,311,39,20
1603,311,7,11
1604,311,12,24
1605,311,18,24
1606,312,43,27
1607,312,69,2
1608,312,27,17
1609,312,80,30
1610,312,54,12
1611,312,65,11
1612,312,67,16
1613,313,9,23
1614,313,101,21
1615,313,26,2
1616,313,7,29
1617,313,9,31
1618,313,33,26
1619,313,26,20
1620,314,79,5
1621,314,7,1
1622,314,6,28
1623,314,29,21
1624,314,66,24
1625,314,100,24
1626,315,8,21
1627,315,71,11
1628,315,59,26
1629,315,59,23
1630,315,43,5
1631,315,93,12
1632,315,73,24
1633,316,8,29
1634,316,16,30
1635,316,97,30
1636,316,51,24
1637,316,26,26
1638,317,71,20
1639,318,6,23
1640,318,47,24
1641,318,92,18
1642,318,72,11
1643,318,70,16
1644,319,89,6
1645,319,82,24
1646,319,94,26
1647,319,54,26
1648,319,29,29
1649,320,80,20
1650,320,72,27
1651,320,63,23
1652,321,74,9
1653,321,25,20
1654,321,5,6
1655,322,2,2
1656,322,29,29
1657,322,101,29
1658,322,26,5
1659,322,47,16
1660,323,60,24
1661,323,71,20
